"source","STUDY_ID","newsite","REALM","TAXA","ORGANISMS","initR","nsp","nyr","CENT_LAT","CENT_LONG","citation_1","citation_2","citation_3","citation_4","citation_5","citation_6","citation_7","citation_8"
"BioTIME","57","57","Freshwater","fish","fish",76,34,32,43.9928,-89.4946,"NTL LTER ""NTLFI02 North Temperate Lakes LTER: Fish Abundance 1981 - current"". North Temperate Lakes Long Term Ecological Research program, NSF. Center for Limnology, University of Wisconsin-Madison. Available at: https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-fish-abundance-1981-current, accessed 2012.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","","","",""
"BioTIME","229","STUDY_ID_229_LAT35.14137_LON-83.29577","Freshwater","fish","fish",32,17,21,35.138164,-83.385518,"McLarney, W. O., Meador, J. & Chamblee, J. (2010) “Upper Little Tennessee River Biomonitoring Program Database.” Coweeta Long Term Ecological Research Program. Available at: https://coweeta.uga.edu/dbpublic/dataset_details.asp?accession=4045, accessed 2012.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","","","",""
"BioTIME","229","STUDY_ID_229_LAT35.15755_LON-83.38673","Freshwater","fish","fish",37,16,23,35.138164,-83.385518,"McLarney, W. O., Meador, J. & Chamblee, J. (2010) “Upper Little Tennessee River Biomonitoring Program Database.” Coweeta Long Term Ecological Research Program. Available at: https://coweeta.uga.edu/dbpublic/dataset_details.asp?accession=4045, accessed 2012.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","","","",""
"BioTIME","253","STUDY_ID_253_LAT46.00275_LON-89.61223","Freshwater","freshwater invertebrates","zooplankton",81,24,29,46.021392,-89.652932,"NTL LTER “North Temperate Lakes LTER: Zooplankton - Trout Lake Area 1982 - current.” NorthTemperate Lakes Long Term Ecological Research Program, Center for Limnology, University of Wisconsin-Madison. Available at: https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-zooplankton-trout-lake-area-1982-current, accessed 2013.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","","","",""
"BioTIME","253","STUDY_ID_253_LAT46.00758_LON-89.60618","Freshwater","freshwater invertebrates","zooplankton",86,20,29,46.021392,-89.652932,"NTL LTER “North Temperate Lakes LTER: Zooplankton - Trout Lake Area 1982 - current.” NorthTemperate Lakes Long Term Ecological Research Program, Center for Limnology, University of Wisconsin-Madison. Available at: https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-zooplankton-trout-lake-area-1982-current, accessed 2013.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","","","",""
"BioTIME","253","STUDY_ID_253_LAT46.00773_LON-89.70118","Freshwater","freshwater invertebrates","zooplankton",82,26,29,46.021392,-89.652932,"NTL LTER “North Temperate Lakes LTER: Zooplankton - Trout Lake Area 1982 - current.” NorthTemperate Lakes Long Term Ecological Research Program, Center for Limnology, University of Wisconsin-Madison. Available at: https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-zooplankton-trout-lake-area-1982-current, accessed 2013.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","","","",""
"BioTIME","253","STUDY_ID_253_LAT46.02107_LON-89.61178","Freshwater","freshwater invertebrates","zooplankton",87,34,29,46.021392,-89.652932,"NTL LTER “North Temperate Lakes LTER: Zooplankton - Trout Lake Area 1982 - current.” NorthTemperate Lakes Long Term Ecological Research Program, Center for Limnology, University of Wisconsin-Madison. Available at: https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-zooplankton-trout-lake-area-1982-current, accessed 2013.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","","","",""
"BioTIME","253","STUDY_ID_253_LAT46.02927_LON-89.66502","Freshwater","freshwater invertebrates","zooplankton",87,38,29,46.021392,-89.652932,"NTL LTER “North Temperate Lakes LTER: Zooplankton - Trout Lake Area 1982 - current.” NorthTemperate Lakes Long Term Ecological Research Program, Center for Limnology, University of Wisconsin-Madison. Available at: https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-zooplankton-trout-lake-area-1982-current, accessed 2013.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","","","",""
"BioTIME","253","STUDY_ID_253_LAT46.03832_LON-89.62062","Freshwater","freshwater invertebrates","zooplankton",88,33,29,46.021392,-89.652932,"NTL LTER “North Temperate Lakes LTER: Zooplankton - Trout Lake Area 1982 - current.” NorthTemperate Lakes Long Term Ecological Research Program, Center for Limnology, University of Wisconsin-Madison. Available at: https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-zooplankton-trout-lake-area-1982-current, accessed 2013.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","","","",""
"BioTIME","254","STUDY_ID_254_LAT43.09885_LON-89.40545","Freshwater","freshwater plants","phytoplankton",319,33,20,43.08111,-89.383155,"NTL LTER “North Temperate Lakes LTER: Phytoplankton - Madison Lakes Area 1995 - current.” North Temperate Lakes Long Term Ecological Research Program, Center for Limnology, University of Wisconsin-Madison. Available at: https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-phytoplankton-madison-lakes-area-1995-current, accessed 2013.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","","","",""
